Fecha,KIT JUEGO TANQUE 1000 L,KIT JUEGO TANQUE 2000 L,KIT JUEGO TANQUE 250 L,KIT JUEGO TANQUE 500 L
2019-06-25,6.0,0.0,4.0,10.0
2019-06-26,13.0,9.0,6.0,10.0
2019-06-27,143.0,5.0,4.0,14.0
2019-06-28,58.0,7.0,4.0,21.0
2019-06-29,42.0,13.0,4.0,23.0
2019-07-02,14.0,0.0,13.0,16.0
2019-07-03,16.0,4.0,22.0,12.0
2019-07-04,51.0,28.0,3.0,5.0
2019-07-05,28.0,4.0,0.0,7.0
2019-07-08,57.0,13.0,106.0,82.0
2019-07-09,15.0,4.0,12.0,9.0
2019-07-10,1.0,0.0,1.0,0.0
2019-07-11,31.0,0.0,6.0,25.0
2019-07-12,27.0,13.0,12.0,19.0
2019-07-15,116.0,35.0,0.0,36.0
2019-07-16,7.0,0.0,0.0,15.0
2019-07-17,33.0,3.0,3.0,12.0
2019-07-18,43.0,3.0,0.0,36.0
2019-07-19,13.0,0.0,0.0,24.0
2019-07-22,104.0,32.0,1.0,130.0
2019-07-23,14.0,7.0,14.0,8.0
2019-07-24,22.0,4.0,0.0,41.0
2019-07-25,21.0,20.0,59.0,43.0
2019-07-26,62.0,3.0,0.0,81.0
2019-07-27,30.0,6.0,8.0,36.0
2019-07-29,0.0,0.0,0.0,11.0
2019-07-30,57.0,41.0,0.0,14.0
2019-07-31,35.0,46.0,49.0,74.0
2019-08-05,18.0,5.0,1.0,50.0
2019-08-06,55.0,23.0,9.0,34.0
2019-08-09,27.0,11.0,1.0,11.0
2019-08-12,81.0,3.0,26.0,24.0
2019-08-13,13.0,17.0,129.0,35.0
2019-08-14,97.0,18.0,1.0,98.0
2019-08-15,73.0,17.0,1.0,38.0
2019-08-16,39.0,11.0,10.0,24.0
2019-08-20,31.0,4.0,45.0,133.0
2019-08-21,4.0,19.0,4.0,28.0
2019-08-22,51.0,8.0,4.0,54.0
2019-08-23,20.0,6.0,22.0,24.0
2019-08-26,0.0,0.0,13.0,13.0
2019-08-27,162.0,41.0,23.0,161.0
2019-08-28,95.0,32.0,22.0,124.0
2019-08-29,74.0,5.0,73.0,47.0
2019-08-30,56.0,12.0,13.0,75.0
2019-08-31,118.0,9.0,0.0,27.0
2019-09-02,8.0,4.0,0.0,20.0
2019-09-03,1.0,3.0,0.0,1.0
2019-09-04,6.0,21.0,3.0,22.0
2019-09-05,3.0,0.0,0.0,8.0
2019-09-06,49.0,14.0,14.0,23.0
2019-09-09,48.0,36.0,16.0,31.0
2019-09-10,39.0,16.0,3.0,41.0
2019-09-11,1.0,0.0,9.0,8.0
2019-09-12,36.0,11.0,0.0,19.0
2019-09-13,0.0,10.0,0.0,8.0
2019-09-16,78.0,26.0,8.0,57.0
2019-09-17,4.0,14.0,44.0,105.0
2019-09-18,21.0,24.0,10.0,9.0
2019-09-19,60.0,8.0,64.0,160.0
2019-09-20,16.0,25.0,12.0,53.0
2019-09-23,13.0,3.0,0.0,108.0
2019-09-24,62.0,24.0,15.0,78.0
2019-09-25,21.0,11.0,0.0,19.0
2019-09-26,22.0,3.0,0.0,4.0
2019-09-27,51.0,13.0,7.0,38.0
2019-09-28,6.0,0.0,13.0,34.0
2019-09-30,72.0,5.0,41.0,104.0
2019-10-01,13.0,0.0,0.0,25.0
2019-10-02,7.0,0.0,1.0,66.0
2019-10-03,29.0,7.0,0.0,78.0
2019-10-04,101.0,13.0,66.0,52.0
2019-10-07,34.0,22.0,41.0,47.0
2019-10-08,25.0,4.0,3.0,70.0
2019-10-09,14.0,14.0,8.0,40.0
2019-10-10,92.0,12.0,0.0,23.0
2019-10-11,14.0,5.0,8.0,34.0
2019-10-15,37.0,19.0,6.0,1.0
2019-10-16,70.0,39.0,19.0,53.0
2019-10-17,9.0,12.0,1.0,37.0
2019-10-18,42.0,5.0,6.0,76.0
2019-10-21,35.0,34.0,4.0,19.0
2019-10-22,1.0,35.0,0.0,22.0
2019-10-23,47.0,29.0,0.0,73.0
2019-10-24,19.0,5.0,0.0,37.0
2019-10-25,3.0,4.0,0.0,23.0
2019-10-28,11.0,0.0,3.0,25.0
2019-10-29,39.0,19.0,25.0,44.0
2019-10-30,40.0,35.0,19.0,26.0
2019-10-31,91.0,27.0,19.0,115.0
2019-11-05,22.0,1.0,8.0,32.0
2019-11-06,44.0,14.0,17.0,53.0
2019-11-07,71.0,16.0,0.0,32.0
2019-11-08,25.0,20.0,44.0,61.0
2019-11-12,51.0,25.0,0.0,32.0
2019-11-13,93.0,37.0,22.0,139.0
2019-11-14,32.0,14.0,3.0,14.0
2019-11-15,135.0,3.0,19.0,19.0
2019-11-18,25.0,1.0,7.0,54.0
2019-11-19,54.0,4.0,4.0,12.0
2019-11-20,14.0,1.0,6.0,19.0
2019-11-21,58.0,13.0,18.0,34.0
2019-11-22,24.0,27.0,17.0,81.0
2019-11-25,31.0,9.0,12.0,36.0
2019-11-26,35.0,8.0,33.0,38.0
2019-11-27,56.0,3.0,15.0,24.0
2019-11-28,39.0,17.0,15.0,49.0
2019-11-29,69.0,7.0,23.0,70.0
2019-11-30,47.0,3.0,0.0,8.0
2019-12-02,1.0,9.0,6.0,0.0
2019-12-03,16.0,6.0,4.0,1.0
2019-12-04,25.0,25.0,0.0,0.0
2019-12-05,10.0,5.0,0.0,0.0
2019-12-06,39.0,7.0,0.0,7.0
2019-12-09,49.0,49.0,9.0,8.0
2019-12-10,62.0,17.0,23.0,37.0
2019-12-11,36.0,23.0,27.0,43.0
2019-12-12,8.0,16.0,0.0,8.0
2019-12-13,13.0,5.0,5.0,24.0
2019-12-16,17.0,0.0,9.0,22.0
2019-12-17,67.0,33.0,56.0,68.0
2019-12-18,62.0,14.0,1.0,109.0
2019-12-19,65.0,30.0,66.0,28.0
2019-12-20,116.0,30.0,0.0,21.0
2019-12-23,55.0,18.0,11.0,38.0
2019-12-26,75.0,1.0,40.0,58.0
2019-12-27,36.0,13.0,4.0,6.0
2019-12-30,72.0,13.0,5.0,28.0
2020-01-07,56.0,9.0,0.0,46.0
2020-01-08,152.0,13.0,1.0,8.0
2020-01-09,19.0,6.0,3.0,19.0
2020-01-10,16.0,1.0,1.0,20.0
2020-01-13,0.0,3.0,1.0,0.0
2020-01-14,77.0,13.0,18.0,50.0
2020-01-15,56.0,0.0,0.0,11.0
2020-01-16,112.0,10.0,0.0,79.0
2020-01-17,74.0,25.0,11.0,77.0
2020-01-20,44.0,4.0,1.0,57.0
2020-01-21,71.0,32.0,60.0,82.0
2020-01-22,50.0,9.0,27.0,33.0
2020-01-23,23.0,4.0,3.0,22.0
2020-01-24,11.0,15.0,6.0,31.0
2020-01-27,55.0,33.0,0.0,20.0
2020-01-28,26.0,4.0,0.0,25.0
2020-01-29,63.0,7.0,3.0,28.0
2020-01-30,35.0,33.0,7.0,34.0
2020-01-31,42.0,51.0,0.0,109.0
2020-02-03,5.0,0.0,5.0,4.0
2020-02-04,13.0,0.0,14.0,21.0
2020-02-05,82.0,0.0,13.0,13.0
2020-02-06,26.0,18.0,4.0,21.0
2020-02-07,27.0,22.0,13.0,56.0
2020-02-10,101.0,24.0,4.0,38.0
2020-02-11,6.0,21.0,3.0,71.0
2020-02-12,18.0,8.0,33.0,14.0
2020-02-13,8.0,6.0,10.0,19.0
2020-02-14,38.0,25.0,28.0,128.0
2020-02-17,32.0,26.0,5.0,29.0
2020-02-18,12.0,29.0,15.0,19.0
2020-02-19,37.0,26.0,7.0,45.0
2020-02-20,41.0,16.0,0.0,47.0
2020-02-21,47.0,0.0,33.0,56.0
2020-02-24,56.0,4.0,6.0,13.0
2020-02-25,127.0,34.0,12.0,56.0
2020-02-26,130.0,47.0,11.0,54.0
2020-02-27,54.0,6.0,8.0,38.0
2020-02-28,43.0,17.0,0.0,55.0
2020-02-29,8.0,3.0,13.0,4.0
2020-03-02,53.0,20.0,13.0,64.0
2020-03-03,0.0,0.0,0.0,2.0
2020-03-04,21.0,22.0,16.0,63.0
2020-03-05,4.0,3.0,13.0,0.0
2020-03-06,1.0,4.0,0.0,0.0
2020-03-09,37.0,14.0,13.0,19.0
2020-03-10,53.0,4.0,0.0,31.0
2020-03-11,142.0,33.0,4.0,113.0
2020-03-12,76.0,23.0,67.0,82.0
2020-03-13,83.0,49.0,8.0,14.0
2020-03-16,36.0,14.0,5.0,13.0
2020-03-17,78.0,6.0,0.0,59.0
2020-03-18,55.0,25.0,13.0,72.0
2020-03-19,64.0,9.0,11.0,73.0
2020-03-20,111.0,45.0,3.0,91.0
2020-03-24,13.0,4.0,0.0,0.0
2020-04-07,9.0,0.0,9.0,9.0
2020-04-13,16.0,0.0,5.0,13.0
2020-04-15,20.0,0.0,0.0,0.0
2020-04-16,44.0,13.0,0.0,38.0
2020-04-17,0.0,0.0,5.0,0.0
2020-04-20,4.0,15.0,0.0,4.0
2020-04-21,6.0,6.0,0.0,0.0
2020-04-22,8.0,0.0,8.0,15.0
2020-04-23,3.0,0.0,4.0,0.0
2020-04-24,9.0,9.0,4.0,7.0
2020-04-25,104.0,13.0,41.0,86.0
2020-04-27,104.0,45.0,4.0,21.0
2020-04-28,37.0,36.0,0.0,9.0
2020-04-29,58.0,12.0,32.0,72.0
2020-04-30,77.0,28.0,13.0,27.0
2020-05-04,43.0,0.0,6.0,33.0
2020-05-05,17.0,19.0,5.0,48.0
2020-05-06,29.0,3.0,0.0,9.0
2020-05-07,64.0,22.0,17.0,65.0
2020-05-08,97.0,14.0,63.0,89.0
2020-05-09,14.0,7.0,0.0,0.0
2020-05-11,31.0,3.0,0.0,29.0
2020-05-12,81.0,29.0,0.0,13.0
2020-05-13,28.0,3.0,5.0,116.0
2020-05-14,53.0,14.0,0.0,111.0
2020-05-15,38.0,30.0,11.0,58.0
2020-05-16,38.0,21.0,25.0,0.0
2020-05-18,19.0,8.0,6.0,14.0
2020-05-19,51.0,28.0,0.0,47.0
2020-05-20,7.0,12.0,3.0,25.0
2020-05-21,47.0,9.0,4.0,14.0
2020-05-22,16.0,18.0,0.0,5.0
2020-05-23,6.0,3.0,6.0,0.0
2020-05-26,35.0,22.0,8.0,7.0
2020-05-27,82.0,17.0,0.0,100.0
2020-05-28,18.0,28.0,8.0,28.0
2020-05-29,6.0,4.0,6.0,6.0
2020-05-30,25.0,9.0,21.0,13.0
2020-06-01,93.0,42.0,0.0,60.0
2020-06-02,32.0,4.0,0.0,9.0
2020-06-03,96.0,43.0,83.0,123.0
2020-06-04,21.0,9.0,0.0,9.0
2020-06-05,3.0,0.0,13.0,3.0
2020-06-06,65.0,10.0,12.0,67.0
2020-06-08,50.0,13.0,4.0,45.0
2020-06-09,66.0,4.0,6.0,44.0
2020-06-10,62.0,24.0,8.0,17.0
2020-06-11,17.0,12.0,22.0,40.0
2020-06-12,96.0,6.0,3.0,63.0
2020-06-16,32.0,20.0,13.0,35.0
2020-06-17,97.0,18.0,6.0,44.0
2020-06-18,37.0,53.0,8.0,8.0
2020-06-19,38.0,22.0,0.0,42.0
2020-06-20,47.0,29.0,6.0,63.0
2020-06-23,78.0,23.0,6.0,26.0
2020-06-24,63.0,3.0,25.0,60.0
2020-06-25,150.0,9.0,3.0,28.0
2020-06-26,46.0,9.0,0.0,47.0
2020-06-27,3.0,3.0,0.0,8.0
2020-06-30,24.0,35.0,4.0,43.0
2020-07-01,69.0,15.0,0.0,27.0
2020-07-02,19.0,4.0,0.0,12.0
2020-07-03,50.0,26.0,0.0,30.0
2020-07-04,8.0,8.0,0.0,18.0
2020-07-06,39.0,13.0,0.0,13.0
2020-07-07,85.0,14.0,18.0,32.0
2020-07-08,53.0,3.0,0.0,37.0
2020-07-09,12.0,6.0,0.0,6.0
2020-07-10,81.0,17.0,4.0,28.0
2020-07-11,64.0,46.0,17.0,29.0
2020-07-13,35.0,27.0,13.0,33.0
2020-07-14,54.0,17.0,13.0,61.0
2020-07-15,58.0,14.0,0.0,42.0
2020-07-16,31.0,10.0,35.0,375.0
2020-07-17,78.0,34.0,14.0,44.0
2020-07-18,31.0,4.0,13.0,19.0
2020-07-21,51.0,25.0,6.0,41.0
2020-07-22,0.0,3.0,0.0,0.0
2020-07-23,57.0,13.0,3.0,39.0
2020-07-24,56.0,41.0,12.0,32.0
2020-07-25,29.0,5.0,3.0,16.0
2020-07-27,4.0,1.0,7.0,9.0
2020-07-28,26.0,9.0,0.0,26.0
2020-07-29,148.0,65.0,0.0,62.0
2020-07-30,26.0,9.0,52.0,64.0
2020-07-31,78.0,36.0,0.0,36.0
2020-08-01,0.0,1.0,0.0,0.0
2020-08-03,60.0,0.0,35.0,73.0
2020-08-04,22.0,11.0,5.0,53.0
2020-08-05,28.0,30.0,0.0,12.0
2020-08-06,10.0,66.0,3.0,76.0
2020-08-10,31.0,6.0,0.0,1.0
2020-08-11,128.0,49.0,6.0,74.0
2020-08-12,52.0,33.0,8.0,38.0
2020-08-13,47.0,23.0,5.0,30.0
2020-08-14,21.0,11.0,0.0,50.0
2020-08-15,44.0,11.0,17.0,22.0
2020-08-18,71.0,22.0,21.0,40.0
2020-08-19,42.0,12.0,17.0,17.0
2020-08-20,35.0,19.0,7.0,37.0
2020-08-21,16.0,3.0,17.0,18.0
2020-08-22,75.0,48.0,44.0,49.0
2020-08-24,6.0,4.0,0.0,4.0
2020-08-25,87.0,69.0,30.0,37.0
2020-08-26,34.0,18.0,6.0,18.0
2020-08-27,8.0,8.0,16.0,3.0
2020-08-28,89.0,26.0,37.0,24.0
2020-08-29,35.0,11.0,0.0,23.0
2020-08-31,77.0,7.0,24.0,72.0
2020-09-01,13.0,0.0,0.0,0.0
2020-09-02,9.0,0.0,3.0,5.0
2020-09-03,31.0,36.0,28.0,37.0
2020-09-04,51.0,16.0,14.0,17.0
2020-09-05,0.0,0.0,0.0,4.0
2020-09-07,19.0,6.0,31.0,19.0
2020-09-08,32.0,26.0,4.0,13.0
2020-09-09,23.0,16.0,0.0,29.0
2020-09-10,53.0,26.0,17.0,10.0
2020-09-11,29.0,8.0,14.0,32.0
2020-09-12,53.0,0.0,17.0,107.0
2020-09-14,59.0,19.0,22.0,97.0
2020-09-15,12.0,7.0,8.0,0.0
2020-09-16,141.0,24.0,0.0,70.0
2020-09-17,31.0,1.0,0.0,16.0
2020-09-18,25.0,16.0,3.0,23.0
2020-09-19,17.0,9.0,0.0,8.0
2020-09-21,82.0,59.0,6.0,79.0
2020-09-22,17.0,17.0,3.0,16.0
2020-09-23,142.0,44.0,26.0,88.0
2020-09-24,13.0,11.0,16.0,9.0
2020-09-25,39.0,14.0,16.0,76.0
2020-09-26,4.0,13.0,1.0,4.0
2020-09-28,31.0,8.0,3.0,71.0
2020-09-29,14.0,14.0,141.0,192.0
2020-09-30,76.0,52.0,12.0,54.0
2020-10-01,25.0,14.0,0.0,38.0
2020-10-02,59.0,8.0,35.0,69.0
2020-10-03,5.0,5.0,0.0,5.0
2020-10-05,53.0,36.0,1.0,27.0
2020-10-06,259.0,47.0,65.0,34.0
2020-10-07,33.0,13.0,0.0,17.0
2020-10-08,20.0,0.0,4.0,52.0
2020-10-09,85.0,29.0,8.0,30.0
2020-10-13,69.0,49.0,13.0,56.0
2020-10-14,23.0,9.0,0.0,8.0
2020-10-15,31.0,4.0,12.0,31.0
2020-10-16,183.0,10.0,18.0,62.0
2020-10-17,25.0,4.0,0.0,0.0
2020-10-19,123.0,31.0,22.0,39.0
2020-10-20,42.0,34.0,21.0,47.0
2020-10-21,33.0,1.0,7.0,28.0
2020-10-22,100.0,40.0,30.0,100.0
2020-10-23,19.0,14.0,28.0,36.0
2020-10-24,11.0,11.0,0.0,0.0
2020-10-26,24.0,9.0,8.0,23.0
2020-10-27,8.0,5.0,0.0,0.0
2020-10-28,51.0,5.0,4.0,36.0
2020-10-29,54.0,18.0,227.0,65.0
2020-10-30,69.0,13.0,23.0,67.0
2020-10-31,36.0,10.0,32.0,65.0
2020-11-03,13.0,3.0,0.0,0.0
2020-11-04,49.0,25.0,5.0,334.0
2020-11-05,95.0,44.0,1.0,67.0
2020-11-06,34.0,3.0,19.0,50.0
2020-11-07,120.0,8.0,3.0,41.0
2020-11-09,22.0,30.0,32.0,33.0
2020-11-10,76.0,22.0,0.0,19.0
2020-11-11,30.0,8.0,3.0,11.0
2020-11-12,42.0,21.0,5.0,34.0
2020-11-13,25.0,11.0,21.0,24.0
2020-11-17,69.0,18.0,12.0,47.0
2020-11-18,44.0,16.0,267.0,5.0
2020-11-19,21.0,3.0,0.0,31.0
2020-11-20,87.0,26.0,3.0,22.0
2020-11-21,0.0,0.0,0.0,1.0
2020-11-23,90.0,16.0,8.0,65.0
2020-11-24,72.0,28.0,6.0,53.0
2020-11-25,21.0,16.0,278.0,144.0
2020-11-26,5.0,25.0,0.0,5.0
2020-11-27,107.0,33.0,13.0,31.0
2020-11-28,0.0,8.0,19.0,0.0
2020-11-30,78.0,17.0,26.0,39.0
2020-12-01,0.0,0.0,8.0,13.0
2020-12-02,60.0,38.0,148.0,23.0
2020-12-03,72.0,8.0,78.0,24.0
2020-12-04,61.0,37.0,14.0,39.0
2020-12-05,33.0,6.0,0.0,8.0
2020-12-07,109.0,34.0,14.0,106.0
2020-12-09,13.0,5.0,0.0,22.0
2020-12-10,21.0,9.0,1.0,24.0
2020-12-11,64.0,22.0,16.0,79.0
2020-12-12,17.0,13.0,13.0,24.0
2020-12-14,16.0,0.0,0.0,6.0
2020-12-15,27.0,4.0,5.0,19.0
2020-12-16,99.0,39.0,43.0,275.0
2020-12-17,73.0,40.0,22.0,68.0
2020-12-18,18.0,0.0,3.0,0.0
2020-12-19,13.0,10.0,172.0,10.0
2020-12-21,67.0,46.0,0.0,81.0
2020-12-22,4.0,3.0,0.0,25.0
2020-12-23,62.0,34.0,0.0,8.0
2020-12-24,34.0,9.0,19.0,47.0
2021-01-04,30.0,4.0,4.0,0.0
2021-01-05,171.0,24.0,0.0,104.0
2021-01-06,41.0,44.0,3.0,34.0
2021-01-07,16.0,6.0,10.0,46.0
2021-01-08,52.0,10.0,0.0,25.0
2021-01-09,61.0,25.0,0.0,6.0
2021-01-12,116.0,35.0,14.0,41.0
2021-01-13,27.0,8.0,3.0,23.0
2021-01-14,53.0,45.0,22.0,49.0
2021-01-15,61.0,28.0,4.0,127.0
2021-01-16,76.0,51.0,4.0,86.0
2021-01-18,131.0,94.0,47.0,60.0
2021-01-19,88.0,19.0,4.0,26.0
2021-01-20,0.0,4.0,0.0,206.0
2021-01-21,156.0,43.0,5.0,93.0
2021-01-22,24.0,15.0,17.0,238.0
2021-01-23,63.0,0.0,0.0,25.0
2021-01-25,46.0,22.0,0.0,31.0
2021-01-26,44.0,53.0,0.0,40.0
2021-01-27,55.0,25.0,7.0,34.0
2021-01-28,39.0,16.0,31.0,18.0
2021-01-29,200.0,132.0,5.0,131.0
2021-01-30,77.0,8.0,0.0,38.0
2021-02-01,3.0,0.0,3.0,3.0
2021-02-02,99.0,33.0,10.0,61.0
2021-02-03,35.0,11.0,20.0,18.0
2021-02-04,0.0,0.0,4.0,25.0
2021-02-05,106.0,28.0,23.0,47.0
2021-02-08,39.0,7.0,3.0,33.0
2021-02-09,151.0,44.0,13.0,70.0
2021-02-10,13.0,13.0,41.0,56.0
2021-02-11,51.0,15.0,0.0,57.0
2021-02-12,90.0,72.0,7.0,64.0
2021-02-15,35.0,28.0,28.0,55.0
2021-02-16,57.0,23.0,3.0,56.0
2021-02-17,55.0,41.0,10.0,42.0
2021-02-18,68.0,22.0,0.0,69.0
2021-02-19,88.0,41.0,12.0,46.0
2021-02-22,137.0,59.0,29.0,137.0
2021-02-23,62.0,31.0,34.0,69.0
2021-02-24,19.0,0.0,0.0,0.0
2021-02-25,26.0,14.0,7.0,27.0
2021-02-26,153.0,40.0,4.0,59.0
2021-03-01,0.0,0.0,6.0,0.0
2021-03-02,28.0,17.0,0.0,95.0
2021-03-03,51.0,24.0,0.0,25.0
2021-03-04,5.0,31.0,1.0,0.0
2021-03-05,82.0,34.0,41.0,88.0
2021-03-08,43.0,33.0,8.0,111.0
2021-03-09,73.0,29.0,26.0,77.0
2021-03-10,140.0,85.0,41.0,112.0
2021-03-11,51.0,8.0,10.0,38.0
2021-03-12,34.0,11.0,1.0,50.0
2021-03-13,6.0,15.0,0.0,3.0
2021-03-15,149.0,35.0,0.0,24.0
2021-03-16,55.0,17.0,29.0,65.0
2021-03-17,38.0,13.0,0.0,63.0
2021-03-18,54.0,10.0,1.0,4.0
2021-03-19,35.0,7.0,1.0,24.0
2021-03-23,97.0,40.0,5.0,245.0
2021-03-24,127.0,62.0,7.0,101.0
2021-03-25,167.0,31.0,16.0,53.0
2021-03-26,91.0,26.0,30.0,74.0
2021-03-29,210.0,78.0,7.0,149.0
2021-03-30,48.0,57.0,29.0,231.0
2021-03-31,173.0,49.0,63.0,84.0
2021-04-05,5.0,9.0,23.0,6.0
2021-04-06,93.0,23.0,0.0,127.0
2021-04-07,53.0,35.0,76.0,215.0
2021-04-08,155.0,28.0,10.0,0.0
2021-04-09,223.0,53.0,30.0,90.0
2021-04-12,128.0,55.0,1.0,57.0
2021-04-13,5.0,5.0,0.0,70.0
2021-04-14,148.0,57.0,0.0,89.0
2021-04-15,29.0,0.0,0.0,28.0
2021-04-16,79.0,1.0,6.0,55.0
2021-04-19,136.0,0.0,4.0,30.0
2021-04-20,96.0,5.0,73.0,142.0
2021-04-21,8.0,0.0,32.0,3.0
2021-04-22,115.0,5.0,48.0,26.0
2021-04-23,6.0,3.0,0.0,0.0
2021-04-26,179.0,38.0,170.0,207.0
2021-04-27,101.0,33.0,9.0,6.0
2021-04-28,94.0,3.0,53.0,157.0
2021-04-29,43.0,55.0,30.0,157.0
2021-04-30,106.0,44.0,21.0,42.0
2021-05-03,78.0,19.0,20.0,8.0
2021-05-06,51.0,13.0,4.0,51.0
2021-05-07,21.0,0.0,6.0,1.0
2021-05-10,0.0,9.0,64.0,0.0
2021-05-11,50.0,19.0,1.0,7.0
2021-05-12,13.0,13.0,0.0,0.0
2021-05-13,26.0,39.0,63.0,82.0
2021-05-14,3.0,7.0,13.0,9.0
2021-05-15,73.0,49.0,8.0,54.0
2021-05-18,116.0,86.0,12.0,34.0
2021-05-19,98.0,0.0,21.0,134.0
2021-05-20,116.0,0.0,24.0,276.0
2021-05-21,52.0,8.0,21.0,43.0
2021-05-22,19.0,0.0,0.0,0.0
2021-05-24,292.0,16.0,20.0,137.0
2021-05-25,76.0,27.0,18.0,57.0
2021-05-26,99.0,32.0,39.0,136.0
